lsoa21cd,lsoa21nm
E01001750,Hackney 031D
E01001847,Hackney 018B
E01001841,Hackney 022C
E01001824,Hackney 004D
E01001803,Hackney 008C
E01001773,Hackney 025E
E01001765,Hackney 010B
E01001745,Hackney 016A
E01001744,Hackney 031A
E01001730,Hackney 019B
E01001714,Hackney 002A
E01033699,Hackney 030A
E01033712,Hackney 023G
E01001799,Hackney 003A
E01001787,Hackney 013B
E01033709,Hackney 032B
E01033713,Hackney 010G
E01001758,Hackney 016D
E01001774,Hackney 024B
E01001801,Hackney 008B
E01001777,Hackney 033A
E01033704,Hackney 023F
E01001812,Hackney 003E
E01001848,Hackney 018C
E01033706,Hackney 033B
E01001806,Hackney 008D
E01001846,Hackney 018A
E01033708,Hackney 033C
E01001849,Hackney 018D
E01001786,Hackney 013A
E01001851,Hammersmith and Fulham 010A
E01001853,Hammersmith and Fulham 007B
E01001854,Hammersmith and Fulham 007C
E01001855,Hammersmith and Fulham 010B
E01001861,Hammersmith and Fulham 006C
E01001862,Hammersmith and Fulham 005A
E01001863,Hammersmith and Fulham 006D
E01001864,Hammersmith and Fulham 006E
E01001867,Hammersmith and Fulham 012B
E01001872,Hammersmith and Fulham 012F
E01001873,Hammersmith and Fulham 010E
E01001878,Hammersmith and Fulham 001E
E01001879,Hammersmith and Fulham 019A
E01001882,Hammersmith and Fulham 017C
E01001884,Hammersmith and Fulham 017E
E01001885,Hammersmith and Fulham 015A
E01001888,Hammersmith and Fulham 018A
E01001896,Hammersmith and Fulham 009B
E01001901,Hammersmith and Fulham 019B
E01001903,Hammersmith and Fulham 019D
E01001905,Hammersmith and Fulham 022B
E01001906,Hammersmith and Fulham 022C
E01001907,Hammersmith and Fulham 022D
E01001908,Hammersmith and Fulham 015B
E01001910,Hammersmith and Fulham 014B
E01001914,Hammersmith and Fulham 014D
E01001918,Hammersmith and Fulham 018D
E01001926,Hammersmith and Fulham 024C
E01001929,Hammersmith and Fulham 009D
E01001931,Hammersmith and Fulham 011B
E01001938,Hammersmith and Fulham 025D
E01001940,Hammersmith and Fulham 005B
E01001942,Hammersmith and Fulham 005D
E01001944,Hammersmith and Fulham 004B
E01001945,Hammersmith and Fulham 004C
E01001948,Hammersmith and Fulham 021B
E01001949,Hammersmith and Fulham 021C
E01001952,Hammersmith and Fulham 024D
E01001957,Hammersmith and Fulham 002B
E01001958,Hammersmith and Fulham 002C
E01001960,Hammersmith and Fulham 003D
E01001961,Hammersmith and Fulham 002D
E01032789,Hammersmith and Fulham 023E
E01001852,Hammersmith and Fulham 007A
E01001857,Hammersmith and Fulham 007D
E01001859,Hammersmith and Fulham 008A
E01001868,Hammersmith and Fulham 012C
E01001881,Hammersmith and Fulham 017B
E01001892,Hammersmith and Fulham 016D
E01001893,Hammersmith and Fulham 013A
E01001895,Hammersmith and Fulham 009A
E01001897,Hammersmith and Fulham 009C
E01001902,Hammersmith and Fulham 019C
E01001909,Hammersmith and Fulham 015C
E01001912,Hammersmith and Fulham 015E
E01001924,Hammersmith and Fulham 020E
E01001947,Hammersmith and Fulham 021A
E01001951,Hammersmith and Fulham 021E
E01001956,Hammersmith and Fulham 003B
E01032788,Hammersmith and Fulham 023D
E01001856,Hammersmith and Fulham 010C
E01001875,Hammersmith and Fulham 001B
E01001883,Hammersmith and Fulham 017D
E01001889,Hammersmith and Fulham 014A
E01001890,Hammersmith and Fulham 016C
E01001904,Hammersmith and Fulham 022A
E01001946,Hammersmith and Fulham 004D
E01001953,Hammersmith and Fulham 021F
E01032790,Hammersmith and Fulham 023F
E01001865,Hammersmith and Fulham 008B
E01001894,Hammersmith and Fulham 013B
E01001900,Hammersmith and Fulham 013E
E01001913,Hammersmith and Fulham 014C
